,Index,Article Type,Title,Authors,Publication Source,Publication Year,Citations,Importance Rate,Impact Factor,Article Link,BibTex,Synopsis,Cluster
10,11,1,Using Virtual Reality Simulation Environments to Assess Competence for Emergency Medicine Learners,"A. Crichlow, A. J. Lemheney, Anne K. Chipman, C. Eric McCoy, D. Danforth, D. Franzen, D. Mohan, D. Ruby, Dan Robinson, E. Wang, J. Frey, J. Siegelman, J. Taekman, Jillian L. McGrath, K. Parekh, Kathleen Kerrigan, Kesh Kesawadan, Kimberly Won, L. Papa, M. Pusic, Miriam Kulkornia, N. Kman, Naveen Kumar Sankaran, P. Dev, P. Mahajan, Phillip M. Harter, S. Hock, Shiela Riker, T. Koboldt, T. Talbot, W. Bond",Academic Emergency Medicine,2018,115,2.997528423133959, ,https://www.semanticscholar.org/paper/402aa1dc93113179976910d4879c0eb3038b831a,"@['JournalArticle']{McGrath2018UsingVR,
 author = {Jillian L. McGrath and J. Taekman and P. Dev and D. Danforth and D. Mohan and N. Kman and A. Crichlow and W. Bond and Shiela Riker and A. J. Lemheney and T. Talbot and D. Franzen and C. Eric McCoy and Anne K. Chipman and K. Parekh and L. Papa and Phillip M. Harter and J. Frey and S. Hock and Kathleen Kerrigan and Kesh Kesawadan and T. Koboldt and Miriam Kulkornia and P. Mahajan and M. Pusic and Dan Robinson and D. Ruby and Naveen Kumar Sankaran and J. Siegelman and E. Wang and Kimberly Won},
 booktitle = {Academic Emergency Medicine},
 journal = {Academic Emergency Medicine},
 pages = {186–195},
 title = {Using Virtual Reality Simulation Environments to Assess Competence for Emergency Medicine Learners},
 volume = {25},
 year = {2018}
}
","Immersive learning environments that use virtual simulation (VS) technology are increasingly relevant as medical learners train in an environment of restricted clinical training hours and a heightened focus on patient safety. We conducted a consensus process with a breakout group of the 2017 Academic Emergency Medicine Consensus Conference ""Catalyzing System Change Through Health Care Simulation: Systems, Competency, and Outcomes."" This group examined the current uses of VS in training and assessment, including limitations and challenges in implementing VS into medical education curricula. We discuss the role of virtual environments in formative and summative assessment. Finally, we offer recommended areas of focus for future research examining VS technology for assessment, including high-stakes assessment in medical education. Specifically, we discuss needs for determination of areas of focus for VS training and assessment, development and exploration of virtual platforms, automated feedback within such platforms, and evaluation of effectiveness and validity of VS education.",35
11,12,1,A hybrid recommender system using artificial neural networks,"J. L. Wightman, Nathaniel D. Bastian, Tulasi K. Paradarami",Expert systems with applications,2017,113,2.997034107760752, ,https://www.semanticscholar.org/paper/d16ad168295a8d26d3f54497e729be5a472fdee4,"@['JournalArticle', 'Review']{Paradarami2017AHR,
 author = {Tulasi K. Paradarami and Nathaniel D. Bastian and J. L. Wightman},
 booktitle = {Expert systems with applications},
 journal = {Expert Syst. Appl.},
 pages = {300-313},
 title = {A hybrid recommender system using artificial neural networks},
 volume = {83},
 year = {2017}
}
",No synopsis,43
12,13,1,Deep Learning Based Recommender System,"Aixin Sun, Lina Yao, Shuai Zhang, Yi Tay",ACM Computing Surveys,2017,659,2.997034107760752, ,https://www.semanticscholar.org/paper/0b6f172def2f4b37ea85969b4d99e789c647726b,"@['JournalArticle', 'Review']{Zhang2017DeepLB,
 author = {Shuai Zhang and Lina Yao and Aixin Sun and Yi Tay},
 booktitle = {ACM Computing Surveys},
 journal = {ACM Computing Surveys (CSUR)},
 pages = {1 - 38},
 title = {Deep Learning Based Recommender System},
 volume = {52},
 year = {2017}
}
","With the growing volume of online information, recommender systems have been an effective strategy to overcome information overload. The utility of recommender systems cannot be overstated, given their widespread adoption in many web applications, along with their potential impact to ameliorate many problems related to over-choice. In recent years, deep learning has garnered considerable interest in many research fields such as computer vision and natural language processing, owing not only to stellar performance but also to the attractive property of learning feature representations from scratch. The influence of deep learning is also pervasive, recently demonstrating its effectiveness when applied to information retrieval and recommender systems research. The field of deep learning in recommender system is flourishing. This article aims to provide a comprehensive review of recent research efforts on deep learning-based recommender systems. More concretely, we provide and devise a taxonomy of deep learning-based recommendation models, along with a comprehensive summary of the state of the art. Finally, we expand on current trends and provide new perspectives pertaining to this new and exciting development of the field.",32
13,14,1,Deep Learning based Recommender System: A Survey and New Perspectives,"Aixin Sun, Lina Yao, Shuai Zhang, Yi Tay",ArXiv,2017,1042,2.997034107760752, ,https://www.semanticscholar.org/paper/608d1bcbb52ae4de52711e075a79c2983ab21788,"@['JournalArticle', 'Review']{Zhang2017DeepLB,
 author = {Shuai Zhang and Lina Yao and Aixin Sun and Yi Tay and Shuai Zhang and Lina Yao and Aixin Sun},
 booktitle = {ArXiv},
 journal = {ArXiv},
 title = {Deep Learning based Recommender System: A Survey and New Perspectives},
 volume = {abs/1707.07435},
 year = {2017}
}
","With the ever-growing volume of online information, recommender systems have been an eective strategy to overcome such information overload. e utility of recommender systems cannot be overstated, given its widespread adoption in many web applications, along with its potential impact to ameliorate many problems related to over-choice. In recent years, deep learning has garnered considerable interest in many research elds such as computer vision and natural language processing, owing not only to stellar performance but also the aractive property of learning feature representations from scratch. e inuence of deep learning is also pervasive, recently demonstrating its eectiveness when applied to information retrieval and recommender systems research. Evidently, the eld of deep learning in recommender system is ourishing. is article aims to provide a comprehensive review of recent research eorts on deep learning based recommender systems. More concretely, we provide and devise a taxonomy of deep learning based recommendation models, along with providing a comprehensive summary of the state-of-the-art. Finally, we expand on current trends and provide new perspectives pertaining to this new exciting development of the eld.",32
14,15,1,Yum-Me: A Personalized Nutrient-Based Meal Recommender System,"C. Hsieh, Curtis Cole, D. Estrin, Hongjian Yang, J. P. Pollak, Longqi Yang, Nicola Dell, Serge J. Belongie",ACM Trans. Inf. Syst.,2016,106,2.996539792387543, ,https://www.semanticscholar.org/paper/4d6d77dee9fe65677a4d63766cc387ee7a0e276c,"@['JournalArticle']{Yang2016Yum-Me:AP,
 author = {Longqi Yang and C. Hsieh and Hongjian Yang and J. P. Pollak and Nicola Dell and Serge J. Belongie and Curtis Cole and D. Estrin},
 booktitle = {ACM Trans. Inf. Syst.},
 journal = {ACM transactions on information systems},
 title = {Yum-Me: A Personalized Nutrient-Based Meal Recommender System},
 volume = {36},
 year = {2016}
}
","Nutrient-based meal recommendations have the potential to help individuals prevent or manage conditions such as diabetes and obesity. However, learning people’s food preferences and making recommendations that simultaneously appeal to their palate and satisfy nutritional expectations are challenging. Existing approaches either only learn high-level preferences or require a prolonged learning period. We propose Yum-me, a personalized nutrient-based meal recommender system designed to meet individuals’ nutritional expectations, dietary restrictions, and fine-grained food preferences. Yum-me enables a simple and accurate food preference profiling procedure via a visual quiz-based user interface and projects the learned profile into the domain of nutritionally appropriate food options to find ones that will appeal to the user. We present the design and implementation of Yum-me and further describe and evaluate two innovative contributions. The first contriution is an open source state-of-the-art food image analysis model, named FoodDist. We demonstrate FoodDist’s superior performance through careful benchmarking and discuss its applicability across a wide array of dietary applications. The second contribution is a novel online learning framework that learns food preference from itemwise and pairwise image comparisons. We evaluate the framework in a field study of 227 anonymous users and demonstrate that it outperforms other baselines by a significant margin. We further conducted an end-to-end validation of the feasibility and effectiveness of Yum-me through a 60-person user study, in which Yum-me improves the recommendation acceptance rate by 42.63%.",7
15,16,1,Member contribution-based group recommender system,"Guangquan Zhang, Jie Lu, Wei Wang",Decision Support Systems,2016,104,2.996539792387543, ,https://www.semanticscholar.org/paper/36cd94939f23675179d796d3b4b7cd5a7c3008e6,"@['JournalArticle']{Wang2016MemberCG,
 author = {Wei Wang and Guangquan Zhang and Jie Lu},
 booktitle = {Decision Support Systems},
 journal = {Decis. Support Syst.},
 pages = {80-93},
 title = {Member contribution-based group recommender system},
 volume = {87},
 year = {2016}
}
",No synopsis,33
16,17,1,"The Netflix Recommender System: Algorithms, Business Value, and Innovation","C. Gomez-Uribe, Neil Hunt",ACM Transactions on Management Information Systems,2016,507,2.996539792387543, ,https://www.semanticscholar.org/paper/862fe210ff58cc690909e781db7805a906a5016e,"@['JournalArticle']{Gomez-Uribe2016TheNR,
 author = {C. Gomez-Uribe and Neil Hunt},
 booktitle = {ACM Transactions on Management Information Systems},
 journal = {ACM Trans. Manag. Inf. Syst.},
 pages = {13:1-13:19},
 title = {The Netflix Recommender System: Algorithms, Business Value, and Innovation},
 volume = {6},
 year = {2016}
}
",No synopsis,47
17,18,1,National Violent Death Reporting System (NVDRS),Mathew Christensen,Delaware journal of public health,2016,101,2.996539792387543, ,https://www.semanticscholar.org/paper/44341f85f1cde803c3b9940ad741f44befa925b4,"@['JournalArticle']{Christensen2016NationalVD,
 author = {Mathew Christensen},
 booktitle = {Delaware journal of public health},
 journal = {Delaware Journal of Public Health},
 pages = {34 - 34},
 title = {National Violent Death Reporting System (NVDRS)},
 volume = {2},
 year = {2016}
}
","The benefits of a state-based, national reporting system to track the incidence and characteristics of a health condition have been well established in other areas such as infectious diseases and motor vehicle safety. For example, the Fatality Analysis Reporting System (FARS) captures more than 100 pieces of information about more than 40,000 deaths from motor vehicle crashes annually. The database has facilitated the development and evaluation of science-based policies aimed at creating safer cars, safer drivers and safer roads. The Institute of Medicine’s report, Reducing the Burden of Injury, has recommended a national data system for homicides and suicides that would provide objective data to monitor trends and to evaluate the effectiveness of prevention programs and policies. Additionally, the Healthy People 2010 report calls for a reduction in homicide and suicide rates over the next decade. The U.S. Surgeon General’s Call to Action to Prevent Suicide further recognized that more people die from suicide than homicide in the United States and has called for a “national violent death reporting system that includes suicide,” and, most recently, a Morbidity and Mortality Weekly Report (MMWR) publication called for the establishment of a National Violent Death Reporting System (NVDRS).",26
18,19,1,"GroRec: A Group-Centric Intelligent Recommender System Integrating Social, Mobile and Big Data Technologies",Yin Zhang,IEEE Transactions on Services Computing,2016,113,2.996539792387543, ,https://www.semanticscholar.org/paper/a421cdd77792cf3449249ed84e3a44cab6ab6ff7,"@['JournalArticle']{Zhang2016GroRec:AG,
 author = {Yin Zhang},
 booktitle = {IEEE Transactions on Services Computing},
 journal = {IEEE Transactions on Services Computing},
 pages = {786-795},
 title = {GroRec: A Group-Centric Intelligent Recommender System Integrating Social, Mobile and Big Data Technologies},
 volume = {9},
 year = {2016}
}
","In recent years, an extensive integration of cyber, physical and social spaces has been occurring. Cyber-Physical-Social Systems (CPSSs) have become the basic paradigm of evolution in the information industry, through which traditional computer science will evolve into cyber-physical-social computational science. Intelligent recommender systems, which are an important fundamental research topic in the CPSS field and one of the key techniques for the implementation of personalized and intelligent computing, have great significance in CPSS development. This paper proposes a group-centric recommender system in the CPSS domain, which consists of activity-oriented group discovery, the revision of rating data for improved accuracy, and group preference modeling that supports sufficient context mining from multiple sources. Through experiments, it is verified that the proposed recommender system is efficient, objective and accurate, thereby providing a strong foundation for personalized computing in the CPSS paradigm.",29
19,20,1,Wide & Deep Learning for Recommender Systems,"G. Corrado, Glen Anderson, H. Aradhye, Hemal Shah, Heng-Tze Cheng, Jeremiah Harmsen, L. Koc, Lichan Hong, M. Ispir, Rohan Anil, Tal Shaked, Tushar Chandra, Vihan Jain, Wei Chai, Xiaobing Liu, Zakaria Haque",DLRS@RecSys,2016,2448,2.996539792387543, ,https://www.semanticscholar.org/paper/657fbf29ea0b4904a3e98d1556f9acf38dddae5f,"@['JournalArticle', 'Book']{Cheng2016Wide&D,
 author = {Heng-Tze Cheng and L. Koc and Jeremiah Harmsen and Tal Shaked and Tushar Chandra and H. Aradhye and Glen Anderson and G. Corrado and Wei Chai and M. Ispir and Rohan Anil and Zakaria Haque and Lichan Hong and Vihan Jain and Xiaobing Liu and Hemal Shah},
 booktitle = {DLRS@RecSys},
 journal = {Proceedings of the 1st Workshop on Deep Learning for Recommender Systems},
 title = {Wide & Deep Learning for Recommender Systems},
 year = {2016}
}
","Generalized linear models with nonlinear feature transformations are widely used for large-scale regression and classification problems with sparse inputs. Memorization of feature interactions through a wide set of cross-product feature transformations are effective and interpretable, while generalization requires more feature engineering effort. With less feature engineering, deep neural networks can generalize better to unseen feature combinations through low-dimensional dense embeddings learned for the sparse features. However, deep neural networks with embeddings can over-generalize and recommend less relevant items when the user-item interactions are sparse and high-rank. In this paper, we present Wide & Deep learning---jointly trained wide linear models and deep neural networks---to combine the benefits of memorization and generalization for recommender systems. We productionized and evaluated the system on Google Play, a commercial mobile app store with over one billion active users and over one million apps. Online experiment results show that Wide & Deep significantly increased app acquisitions compared with wide-only and deep-only models. We have also open-sourced our implementation in TensorFlow.",32
20,21,1,Hybrid Recommender System based on Autoencoders,"Florian Strub, Jérémie Mary, R. Gaudel",DLRS@RecSys,2016,198,2.996539792387543, ,https://www.semanticscholar.org/paper/e967d97f031fba3e2368afcbdca07555bcb378aa,"@['JournalArticle', 'Book']{Strub2016HybridRS,
 author = {Florian Strub and Jérémie Mary and R. Gaudel},
 booktitle = {DLRS@RecSys},
 journal = {Proceedings of the 1st Workshop on Deep Learning for Recommender Systems},
 title = {Hybrid Recommender System based on Autoencoders},
 year = {2016}
}
","A standard model for Recommender Systems is the Matrix Completion setting: given partially known matrix of ratings given by users (rows) to items (columns), infer the unknown ratings. In the last decades, few attempts where done to handle that objective with Neural Networks, but recently an architecture based on Autoencoders proved to be a promising approach. In current paper, we enhanced that architecture (i) by using a loss function adapted to input data with missing values, and (ii) by incorporating side information. The experiments demonstrate that while side information only slightly improve the test error averaged on all users/items, it has more impact on cold users/items.",10
21,22,1,The Netflix Recommender System,"C. Gomez-Uribe, Neil Hunt",-,2015,621,2.996045477014335, ,https://www.semanticscholar.org/paper/e9dd899f0e599eafb4fe47696c83d07d971c0088,"@['Review']{Gomez-Uribe2015TheNR,
 author = {C. Gomez-Uribe and Neil Hunt},
 journal = {ACM Transactions on Management Information Systems (TMIS)},
 pages = {1 - 19},
 title = {The Netflix Recommender System},
 volume = {6},
 year = {2015}
}
","This article discusses the various algorithms that make up the Netflix recommender system, and describes its business purpose. We also describe the role of search and related algorithms, which for us turns into a recommendations problem as well. We explain the motivations behind and review the approach that we use to improve the recommendation algorithms, combining A/B testing focused on improving member retention and medium term engagement, as well as offline experimentation using historical member engagement data. We discuss some of the issues in designing and interpreting A/B tests. Finally, we describe some current areas of focused innovation, which include making our recommender system global and language aware.",47
22,23,1,Social Network and Tag Sources Based Augmenting Collaborative Recommender System,"A. Al-Dhelaan, Jinjuan Zhou, Meili Tang, Mznah Al-Rodhaan, Sungyoung Lee, Tinghuai Ma, Yuan Tian",IEICE Trans. Inf. Syst.,2015,341,2.996045477014335, ,https://www.semanticscholar.org/paper/c3711deaf1c6bcd8c163f0f7de7b45de5e72a10c,"@['JournalArticle']{Ma2015SocialNA,
 author = {Tinghuai Ma and Jinjuan Zhou and Meili Tang and Yuan Tian and A. Al-Dhelaan and Mznah Al-Rodhaan and Sungyoung Lee},
 booktitle = {IEICE Trans. Inf. Syst.},
 journal = {IEICE Trans. Inf. Syst.},
 pages = {902-910},
 title = {Social Network and Tag Sources Based Augmenting Collaborative Recommender System},
 volume = {98-D},
 year = {2015}
}
","Recommender systems, which provide users with recommendations of content suited to their needs, have received great attention in today’s online business world. However, most recommendation approaches exploit only a single source of input data and suffer from the data sparsity problem and the cold start problem. To improve recommendation accuracy in this situation, additional sources of information, such as friend relationship and user-generated tags, should be incorporated in recommendation systems. In this paper, we revise the user-based collaborative filtering (CF) technique, and propose two recommendation approaches fusing usergenerated tags and social relations in a novel way. In order to evaluate the performance of our approaches, we compare experimental results with two baseline methods: user-based CF and user-based CF with weighted friendship similarity using the real datasets (Last.fm and Movielens). Our experimental results show that our methods get higher accuracy. We also verify our methods in cold-start settings, and our methods achieve more precise recommendations than the compared approaches. key words: recommender system, collaborative filtering, social tagging, social network",31
23,24,1,Recommender system application developments: A survey,"D. Wu, Guangquan Zhang, Jie Lu, Mingsong Mao, Wei Wang",Decision Support Systems,2015,1152,2.996045477014335, ,https://www.semanticscholar.org/paper/7246c9877c15139844501406b8e40da37545f656,"@['JournalArticle', 'Review']{Lu2015RecommenderSA,
 author = {Jie Lu and D. Wu and Mingsong Mao and Wei Wang and Guangquan Zhang},
 booktitle = {Decision Support Systems},
 journal = {Decis. Support Syst.},
 pages = {12-32},
 title = {Recommender system application developments: A survey},
 volume = {74},
 year = {2015}
}
",No synopsis,15
